q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
30,stholes_no_proj,STHoles (raw),1024,1.7150883780658044,2.1900637332262023,54.22410325938749,0.490234375,0.0
30,proj_stholes,STHoles-init,1024,1.4409184397726063,1.6677874441526297,61.54172895448039,0.7314453125,0.0
30,quicksel_no_proj,QuickSel-H (raw),1024,1.7183145350186588,1.9949588811173553,54.137996776811114,0.462890625,0.0
30,proj_quicksel,QuickSel-init,1024,1.4375662634211648,1.5966457670714405,61.631198908613584,0.6650390625,0.0
all,stale,Stale,8192,2.476645878092487,4.119123384015555,0.0,0.2298583984375,0.0
all,proj_stale,ISOMER/ISOMER,8192,1.5428186825399053,1.9570868508502566,37.70531765614451,0.0,1.0
all,oasis_no_proj,OASIS-noProj,8192,1.4779601055673273,1.6439801622864652,40.32412471072965,0.4842529296875,0.0
all,proj_oasis,OASIS,8192,1.350039055392551,1.4817190271795708,45.48921719756112,0.621337890625,0.0
all,proj_fresh,Fresh-init,8192,1.1686576639827704,1.2346418756722584,52.81288801437892,0.80322265625,0.0
all,fresh,Fresh,8192,1.0,1.0,59.622810477442975,1.0,0.0
all,stholes_no_proj,STHoles (raw),8192,1.5935938098895344,2.0002488864042967,35.655160716116576,0.451904296875,0.0
all,proj_stholes,STHoles-init,8192,1.4615337988592274,1.7862026184524549,40.98737280983825,0.626953125,0.0
all,quicksel_no_proj,QuickSel-H (raw),8192,1.6038393582801682,1.8907189971173388,35.24147426698542,0.4443359375,0.0
all,proj_quicksel,QuickSel-init,8192,1.420598237265989,1.6396113641592953,42.640235738500735,0.6107177734375,0.0
